Consommation de vin;;;;;;;;;T 7.6.3
;;;;;;;;;
;;;;;;;;;
;Production;Importation;;Exportation 2;Stocks à la fin de l'année 3;;Consommation;;
Rouge;570 391 ;1 365 981 ;4 052 ;9 913 ;870 491 ;651 303 ;1 854 894 ;472 153 ;25,5 
Blanc;518 584 ;261 852 ;23 596 ;8 540 ;870 890 ;112 951 ;771 498 ;490 386 ;63,6 
;;;;;;;;;
2005 6;940 905 ;1 628 936 ;27 079 ;23 422 ;1 680 503 ;713 463 ;2 685 167 ;978 361 ;36,4 
Rouge;490 947 ;1 353 078 ;7 740 ;11 771 ;870 865 ;609 540 ;1 881 383 ;478 802 ;25,4 
Blanc;449 958 ;275 858 ;19 339 ;11 651 ;809 638 ;103 923 ;803 784 ;499 559 ;62,2 
;;;;;;;;;
2006 6;950 011 ;1 571 148 ;33 807 ;26 254 ;1 669 691 ;638 119 ;2 614 868 ;934 569 ;35,7 
Rouge;507 265 ;1 289 981 ;7 246 ;15 125 ;898 322 ;539 901 ;1 831 549 ;464 683 ;25,4 
Blanc;442 746 ;281 167 ;26 561 ;11 129 ;771 369 ;98 218 ;783 319 ;469 886 ;60,0 
;;;;;;;;;
2007 6;977 516 ;1 676 460 ;19 668 ;18 592 ;1 630 356 ;617 379 ;2 717 127 ;998 259 ;36,7 
Rouge;496 303 ;1 350 598 ;6 472 ;12 748 ;861 096 ;515 142 ;1 902 610 ;520 781 ;27,4 
Blanc;481 213 ;327 862 ;13 196 ;5 844 ;769 260 ;102 237 ;814 517 ;477 478 ;58,6 
;;;;;;;;;
2008 6;1 007 953 ;1 649 783 ;24 683 ;18 760 ;1 623 129 ;588 718 ;2 700 087 ;996 420 ;36,9 
Rouge;535 844 ;1 312 559 ;3 342 ;13 369 ;861 492 ;474 988 ;1 878 550 ;522 079 ;27,8 
Blanc;472 109 ;337 224 ;21 341 ;5 391 ;761 637 ;113 730 ;821 537 ;474 341 ;57,7 
;;;;;;;;;
2009 6;1 044 799 ;1 697 040 ;30 095 ;18 669 ;1 704 129 ;589 565 ;2 671 418 ;945 130 ;35,4 
Rouge;550 461 ;1 364 003 ;8 009 ;13 247 ;907 067 ;468 104 ;1 870 535 ;491 639 ;26,3 
Blanc;494 338 ;333 037 ;22 086 ;5 422 ;797 062 ;121 461 ;800 883 ;453 491 ;56,6 
;;;;;;;;;
2010 6;968 515 ;1 715 684 ;32 728 ;20 229 ;1 671 501 ;597 600 ;2 721 291 ;980 914 ;36,0 
Rouge;501 346 ;1 372 426 ;9 236 ;14 231 ;877 631 ;483 723 ;1 882 594 ;516 551 ;27,4 
Blanc;467 169 ;343 258 ;23 492 ;5 998 ;793 870 ;113 877 ;838 697 ;464 363 ;55,4 
;;;;;;;;;
2011 6;1 052 009 ;1 678 620 ;22 534 ;20 333 ;1 785 769 ;573 036 ;2 643 126 ;917 408 ;34,7 
Rouge;547 965 ;1 320 936 ;5 260 ;14 735 ;931 209 ;466 985 ;1 822 586 ;479 652 ;26,3 
Blanc;504 044 ;357 684 ;17 274 ;5 598 ;854 560 ;106 051 ;820 540 ;437 756 ;53,3 
;;;;;;;;;
2012 6;943 388 ;1 679 384 ;17 595 ;16 235 ;1 819 298 ;569 584 ;2 594 055 ;893 624 ;34,4 
Rouge;474 708 ;1 316 845 ;5 034 ;10 567 ;929 767 ;458 825 ;1 795 622 ;465 583 ;25,9 
Blanc;468 680 ;362 539 ;12 561 ;5 668 ;889 531 ;110 759 ;798 433 ;428 041 ;53,6 
;;;;;;;;;
2013 6;788 311 ;1 627 312 ;15 164 ;17 084 ;1 589 367 ;555 460 ;2 657 758 ;1 001 158 ;37,7 
Rouge;414 450 ;1 279 125 ;3 120 ;10 727 ;834 839 ;447 846 ;1 791 875 ;498 651 ;27,8 
Blanc;373 862 ;348 187 ;12 044 ;6 357 ;754 528 ;107 614 ;865 884 ;502 508 ;58,0 
;;;;;;;;;
2014 6;877 630 ;1 643 483 ;26 525 ;14 478 ;1 541 932 ;542 591 ;2 593 464 ;910 587 ;35,1 
Rouge;460 338 ;1 273 625 ;6 598 ;8 289 ;835 861 ;433 710 ;1 745 386 ;451 027 ;25,8 
Blanc;417 292 ;369 857 ;19 928 ;6 189 ;706 071 ;108 881 ;848 078 ;459 560 ;54,2 
;;;;;;;;;
2015 6;799 422 ;1 642 646 ;21 317 ;12 008 ;1 405 802 ;559 267 ;2 570 831 ;923 544 ;35,9 
Rouge;427 176 ;1 258 194 ;3 954 ;6 913 ;792 732 ;438 697 ;1 720 553 ;463 392 ;26,9 
Blanc;372 246 ;384 452 ;17 363 ;5 095 ;613 070 ;120 570 ;850 278 ;460 152 ;54,1 
;;;;;;;;;
2016 6;1 012 135 ;1 608 961 ;16 907 ;10 993 ;1 591 797 ;541 010 ;2 459 272 ;815 147 ;33,1 
Rouge;517 305 ;1 228 235 ;3 582 ;7 077 ;877 067 ;424 075 ;1 672 332 ;425 893 ;25,5 
Blanc;494 830 ;380 726 ;13 325 ;3 916 ;714 730 ;116 935 ;786 940 ;389 254 ;49,5 
;;;;;;;;;
2017 6;744 283 ;1 630 202 ;7 262 ;12 758 ;1 515 185 ;553 119 ;2 433 492 ;808 137 ;33,2 
Rouge;366 337 ;1 234 431 ;2 661 ;8 187 ;826 528 ;434 760 ;1 635 096 ;408 689 ;25,0 
Blanc;377 946 ;395 771 ;4 601 ;4 571 ;688 657 ;118 359 ;798 396 ;399 448 ;50,0 
;;;;;;;;;
;;;;;;;;;
Dernière modification: 14.8.2018;;;;;;;;;
1 Récolte de moût conformément à la déclaration obligatoire sur la récolte du vin moins le moût pour le jus de raisin, ainsi que les 6% pour les pertes, ;;;;;;;;;
les pertes dues au remplissage, la dégradation de la lie de vin, etc.;;;;;;;;;
2 Vin naturel correspondant aux numéros 2204.2131, 2139, 2141, 2149, 2932, 2939, 2942,du tarif douanier, c'est-à-dire sans les spécialités de vins;;;;;;;;;
3 Dans les commerces soumis à autorisation;;;;;;;;;
4 La quantité de vin du pays utilisée pour la fabrication de vinaigre est insignifiante;;;;;;;;;
5 Passage à l'année civile;;;;;;;;;
6 Dès 2004: incl. stocks vignerons-encaveurs;;;;;;;;;
"Source: OFAG; Union Suisse des Paysans, Agristat";;;;;;;;;
© OFS 2018;;;;;;;;;
;;;;;;;;;
Renseignements: Union Suisse des Paysans, Agristat, Lena Obrist, lena.obrist@agristat.ch, 056 462 53 31;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
